Name and handle,ID number,Industry,Location,Not verified
Ben Wikler @benwikler,851211,,,
Mark Pygas @MarkPygas,138661509,,,
Ewen McRae @ewenmcrae,258722453,,,
Ken Klippenstein @kenklippenstein,1634248890,,,
Mike Rosenberg @ByRosenberg,37557953,,,
Dumb Bozo @davelozo,28333369,,,
Zach Schonfeld @zzzzaaaacccchhh,624762482,,,
Adam Mordecai @advodude,1520501,,,
Jen Statsky @jenstatsky,45607170,,,
Tyler Hansen @tjhansen,935776758,,,
Anirvan Ghosh @anirvanghosh,29187734,,,
erik lonnquist @ggDoA,206027357,,,
i have died @ChrisCaesar,20655790,,,
Dr. Craig Malkin @DrCraigMalkin,140883357,,,
Lauren Wolfe @Wolfe321,248817681,,,
Chris Choi @thischoi,18289035,,,
Griffin Newman @GriffLightning,19227177,,,
rafael @rarmenta_,281599766,,,
Victor Huckabee @popesaintvictor,14413441,,,
Caroline Feraday @CarolineFeraday,168448925,,,
Scott Menor @smenor,21063394,,,
Tyler Conway @jtylerconway,42274753,,,
Lamps @EricLampaert,26982651,,,
Jemaine Clement @AJemaineClement,23578176,,,
Chris Harnick @chrisharnick,15313939,,,
Mikel Jollett @Mikel_Jollett,594175899,,,
BenDavid Grabinski @bdgrabinski,742487810024689664,,,
Duncan Trussell PhD @duncantrussell,15030766,,,
Erick Fernandez @ErickFernandez,450921524,,,
Nick Jack Pappas @Pappiness,30726383,,,
Evan Dashevsky @haldash,17809344,,,
Mandy St. Amand @mandystlpd,16578525,,,
Evan Rosenfeld @Evan_Rosenfeld,518254771,,,
Brandon Neely @BrandonTXNeely,1640603341,,,
PJ Sykes @pjsykes,19343658,,,
Man vs Pink @ManVsPink,2476878900,,,
elan gale @theyearofelan,20012063,,,
Joel L. Watts @eJoelWatts,27344468,,,
Fusion @Fusion,121817564,,,
rob delaney @robdelaney,22084427,,,
Kevin O'Leary @kevincarroleary,61902717,,,
Amy Voce @amyvoce,219423527,,,
Gary A Williams @GaryAWilliams,71199966,,,
Jose Andrade @jandrade,13841712,,,
Joe Harris @joeharris,6162282,,,
Samantha Ruddy @samlymatters,38779513,,,
Chelsea Peretti @chelseaperetti,78194111,,,
Brian McNoldy @BMcNoldy,617299845,,,
Alex Metric @Alexmetric,19570059,,,
Jess Dweck @TheDweck,98247788,,,
Shaun O'Banion @shaun_obanion,116556223,,,
StevenBoyer @SteveBoyer5000,844752451,,,
David Rothkopf @djrothkopf,402888514,,,
Dan Smith @0DanSmith,711943898,,,
Mark Collier @sparkycollier,813402,,,
Adam McLane @mclanea,9904602,,,
Chris Riotta @chrisriotta,366666718,,,
Aaron Kaufman @Aaron_Kaufman,23780120,,,
Chris Rollins @chrisrollins_,129367583,,,
Adam Ragusea @aragusea,28413,,,
Leslie Wimes @womenonthemove1,101097644,,,
Ed Cumming @edcumming,18996798,,,
Scott Monty @ScottMonty,1035491,,,
maggie cassella @maggiecassella,110045625,,,
Ben Berkon @BenBerkon,91431221,,,
Hanna Flint @HannaFlint,31547591,,,
Gissur Simonarson @GissiSim,6754922,,,
Erich McElroy @erichmcelroy,147304867,,,
Asa Elliott @AsaElliott,20233668,,,
Emma Kennedy @EmmaKennedy,23217907,,,
pourmecoffee @pourmecoffee,16906137,,,
Benjamin Byron Davis @Tooda,19098606,,,
Matt McDermott @mattmfm,15418628,,,
Forsberg™ @forsberg,14420387,,,
Tim Ball @tball,11154172,,,
rob dobi @Robdobi,19949262,,,
Eric Litman @ericlitman,3975041,,,
Dave Hogg @Stareagle,798556,,,
Josh Sánchez @jnsanchez,24755012,,,
Parker Molloy @ParkerMolloy,634734888,,,
Impeach Donald Trump @Impeach_D_Trump,133938408,,,Not verified
Jail Donald Trump @DTrumpExposed,132339474,,,
BRIAN EVANS @croon1,29122382,,,
Pasquale D'Silva @pasql,187793,,,
David Burn @DetroitSocial,21005709,,,
Tora Woloshin @ToraWoloshin,368654963,,,
Charles Ryan Mauk @charliemizza,40956087,,,
Joseph Amodeo @josephamodeo,212647359,,,
Kaj-Erik Eriksen @KajEriksen,17610271,,,
Adam Rose @RealAdamRose,23921310,,,
Paolo Gregoletto @TriviumPaolo,22662704,,,
Zach Everson @Z_Everson,13951732,,,
Jules Suzdaltsev @jules_su,17891808,,,
Amelia Gapin @EntirelyAmelia,585789428,,,
Travis Nichols @travisjnichols,34093167,,,
Eric Weinrib @EricWeinrib,20405163,,,
Kristina Wong @mskristinawong,19925278,,,
Bess Kalb @bessbell,36712233,,,
Leigh Van Bryan @LeighBryan,27933597,,,
Emperor Per$ad @mrmichaelpersad,424621026,,,
Shannon Watts @shannonrwatts,246939630,,,
Jeffrey Guterman @JeffreyGuterman,246103,,,
Laura Packard @lpackard,14193053,,,
Kevin @TheKevinDent,112001635,,,
Lars Steinhöfel @LarsSteinhoefel,102924925,,,
JoeMyGod @JoeMyGod,16490790,,,
nick abbot @NIAbbot,309613216,,,
Adam Goldberg @TheAdamGoldberg,243965913,,,
Jason CT @JasonCT,14123301,,,
Jonathan Boucher @jonbouch,74870032,,,
Gregory McKelvey @GregoryMcKelvey,193958168,,,
Andy Ostroy @AndyOstroy,123281100,,,
Rod Blackhurst @rodblackhurst,24955190,,,
Martyn LeNoble @martynlenoble,49077908,,,
Shaun Keaveny @shaunwkeaveny,102027437,,,
Sebastian Moritz @555_SCHUH,3513419667,,,
Alex Zalben @azalben,14124866,,,
Chuck Nowlin @ChuckNowlinWZLX,49621522,,,
Slade Douglas @SladeDouglas,124374215,,,
cx @cxcope,130781387,,,
Danny Sullivan @dannysullivan,858051,,,
Tom Coates @tomcoates,12514,,,
Russian Market @russian_market,243318995,,,
Kris Sanchez @KrisSanchez,31497981,,,
A Aryeh Perez @Jethro_Aryeh,115299036,,,
Simon Hedlin @simonhedlin,137673734,,,
Tom Bonier @tbonier,26260537,,,
Cole Ledford @ColeLedford11,860160420,,,
Jordan Uhl @JordanUhl,68752979,,,
Jeffrey Grubb @JeffGrubb,14789070,,,
Austin Braun @AustinOnSocial,1051295658,,,
Christoph Rehage @crehage,132130976,,,
Rob Smith @robsmithireland,20675556,,,
jeremyjojola @jeremyjojola,15622480,,,
Yoely Lebovits @Badchen,36236905,,,
CURTIS' DÅRLIG TUR @cebsilver,36511807,,,
Jen Vargas @jenvargas,14707086,,,
معاذ الجندل @MUATH_ALJANDAL,321657875,,,
Scott Collura @ScottCollura,132268263,,,
Matt Binder @MattBinder,14931637,,,
Rob @RobCabrera,22001784,,,
Ian Boothby @IanBoothby,79110193,,,
Scot Williams @scotwilliams,173884216,,,
John de Guzmán @johndeguzman,15391930,,,
bob clendenin @bobclendenin,104309271,,,
Matt SantaMaria @MattSantaMaria,24288852,,,
Jeremy M @thismyshow,16161057,,,
Calvin @calvinstowell,23141473,,,
Kyle Feldscher @Kyle_Feldscher,270457886,,,
Alex Haditaghi @Alexhaditaghi,318244027,,,
Khary Penebaker @kharyp,53503202,,,
